time_s,sample_time,file_offset,c0_address,mapped_address,channel,register,data,same_wait_order_all,same_wait_order_selected,current_frac,current_low,current_high,current_16_8,loop_low,loop_high,loop_16,end,delta,volume_l,volume_r,control,bank,full_rom_address,type80_block,payload_index,enabled,audible,start_retrigger
6.171088,272145,0x010BE9,0x000D,0x0D,1,loop_high,0x43,2,2,0x00,0x7C,0x0C,0x0C7C00,0x7C,0x43,0x437C,0x1B,0x78,0x20,0x20,0xC2,0x40000,0x040C7C,0,0x0005F,1,1,
6.171111,272146,0x010BEE,0x008D,0x8D,1,cur_high,0x43,0,0,0x00,0x7C,0x43,0x437C00,0x7C,0x43,0x437C,0x1B,0x78,0x20,0x20,0xC2,0x40000,0x04437C,3,0x0349F,1,1,current_pair_complete
6.171111,272146,0x010BF2,0x000E,0x0E,1,end,0x48,1,1,0x00,0x7C,0x43,0x437C00,0x7C,0x43,0x437C,0x48,0x78,0x20,0x20,0xC2,0x40000,0x04437C,3,0x0349F,1,1,
6.171111,272146,0x010BF6,0x000F,0x0F,1,delta,0x84,2,2,0x00,0x7C,0x43,0x437C00,0x7C,0x43,0x437C,0x48,0x84,0x20,0x20,0xC2,0x40000,0x04437C,3,0x0349F,1,1,
6.171134,272147,0x010BFB,0x008E,0x8E,1,ctrl,0xD2,0,0,0x00,0x7C,0x43,0x437C00,0x7C,0x43,0x437C,0x48,0x84,0x20,0x20,0xD2,0x50000,0x05437C,7,0x0B222,1,1,retrigger_commit
6.250930,275666,0x010C02,0x0018,0x18,3,cur_low,0x80,0,0,0x80,0x02,0x60,0x600280,0x02,0x60,0x6002,0x7F,0x84,0x10,0x10,0xD2,0x50000,0x056002,9,0x0C9D8,1,1,
6.250930,275666,0x010C06,0x001A,0x1A,3,vol_l,0x07,1,1,0x80,0x02,0x60,0x600280,0x02,0x60,0x6002,0x7F,0x84,0x07,0x10,0xD2,0x50000,0x056002,9,0x0C9D8,1,1,
6.250930,275666,0x010C0A,0x001B,0x1B,3,vol_r,0x07,2,2,0x80,0x02,0x60,0x600280,0x02,0x60,0x6002,0x7F,0x84,0x07,0x07,0xD2,0x50000,0x056002,9,0x0C9D8,1,1,
6.250952,275667,0x010C0F,0x001C,0x1C,3,loop_mid,0x2F,0,0,0x80,0x02,0x60,0x600280,0x2F,0x60,0x602F,0x7F,0x84,0x07,0x07,0xD2,0x50000,0x056002,9,0x0C9D8,1,1,
6.250952,275667,0x010C13,0x009C,0x9C,3,cur_mid,0x2F,1,1,0x80,0x2F,0x60,0x602F80,0x2F,0x60,0x602F,0x7F,0x84,0x07,0x07,0xD2,0x50000,0x05602F,9,0x0CA05,1,1,current_low_write
